index,Headline,Date,pred_score,Headline_x,Headline_y
6675,"TomoChain Reclaims Important Level, Sparking Bullish Sentiment",05-Feb-20,0.5,,
6676,Tether Burns $102M: Is Bitcoin’s Rally Almost Over?,05-Feb-20,-0.2,,
6677,Bitcoin Emoji Sees Billionaire BSV Backer Hint Legal Action Against Twitter CEO,05-Feb-20,-0.6,,
6678,Stellar (XLM) Could Break Out by the End of the Week,05-Feb-20,0.4,,
6679,Bitcoin Transaction Volume Primed to Overtake PayPal in 2020,05-Feb-20,0.6,,
6680,Craig Wright Thinks Bitcoin and Bitcoin Cash Owe Him $100B+,05-Feb-20,-0.3,,
6681,TRON Founder Faces Criticism Over ‘Centralized’ Hard Cap Removal and Block Reward Increase,05-Feb-20,-0.7,,
6682,Cardano (ADA) Teases a Breakout Above Significant Resistance,05-Feb-20,0.4,,
6683,"Jeff Bezos Pulls a ‘Charlie Lee,’ Sells $1.7B in Amazon Stock at the Top",05-Feb-20,-0.1,,
6684,Iowa Caucuses Coin Tosses Highlight Need for Blockchain Voting,05-Feb-20,0.2,,
6685,Binance Now Lets You Buy Cryptocurrencies with the Russian Ruble,05-Feb-20,0.2,,
6686,Bitcoin Analysis for 2020-02-05 [Premium Analysis],05-Feb-20,0.1,,
6687,Why Has XRP Surged This Week (And How High It Will Go),05-Feb-20,0.1,,
6688,BAT Could Follow ICX’s Lead and Double in Value,05-Feb-20,0.7,,
6689,Bitcoin Price Dip Due to Low Interest From Wall Street?,05-Feb-20,-0.4,,
6690,How Does ICX’s Increase Compare to That of 2017?,05-Feb-20,0.1,,
6691,Cryptocurrency Markets Hold Gains While Wall Street Braces for Volatility,05-Feb-20,0.3,,
6692,Financial Website Zero Hedge Banned by Twitter Over Coronavirus Conspiracy Claims,04-Feb-20,-0.7,,
6693,Hackers Used New Tools for Targeting US Government Agency,04-Feb-20,-0.8,,
6694,XRP Price Movement Explained by the Wyckoff Distribution,04-Feb-20,0.1,,
6695,$50 Billion Asset Manager Makes ‘The Investment Case for Bitcoin’,04-Feb-20,0.7,,
6696,"EOS Breakout Could Take It Above 50,000 Satoshis",04-Feb-20,0.6,,
6697,"5,000,000 Binance USD (BUSD) Minted With the Help of Pax Treasury",04-Feb-20,0.2,,
6698,100 Days Remaining: Three Ways to Invest in Bitcoin Before the Next Halving,04-Feb-20,0.1,,
6699,Ethereum Mining Revenue Plummeted Nearly 75% in 2019,04-Feb-20,-0.7,,
6700,Bitcoin Cash Creates Continuation Pattern in Anticipation of a Breakout,04-Feb-20,0.1,,
6701,"Bitcoin Stays Cheap — Whale Transfers 49,922 BTC ($458M) for Less Than 60 Cent Fee",04-Feb-20,0.5,,
6702,Bitcoin Analysis for 2020-02-04 [Premium Analysis],04-Feb-20,0.1,,
6703,"Bitcoin SV Completes Genesis Hard Fork, Block Size Limits Removed",04-Feb-20,0.1,,
6704,CryptoGames – The Enticing World of Crypto & Gambling,04-Feb-20,0.1,,
6705,Bitcoin Remains Near $9.3k as Big Tech Dominates Stock Market,04-Feb-20,0.1,,
6706,NEO Increased by More Than 10 Percent in a Single Day: Is This a Sign of Things to Come?,04-Feb-20,0.3,,
6707,"FCA Increases Crypto Business Registration Fee to £10,000",04-Feb-20,-0.2,,
6708,Will Wanchain Follow the Footsteps of ICON and Double in Value?,03-Feb-20,0.1,,
6709,Ethereum Classic Hashrate Explodes Past Previous All-Time High,03-Feb-20,0.7,,
6710,Tezos Completed Its Correction: Where Is It Heading to Next?,03-Feb-20,0.1,,
6711,Twitter Founder Receives Bitcoin Lighting Network Torch #2,03-Feb-20,0.3,,
6712,China Prints Entire Bitcoin Market Cap in Single Day to Calm Coronavirus Fears,03-Feb-20,0.1,,
6713,ICON (ICX) Achieves Massive Weekly Gain — How Long Will the Trend Continue?,03-Feb-20,0.3,,
6714,Bitcoin Futures Open Interest Up 60% Since the Start of the Year,03-Feb-20,0.5,,
6715,"XRP Whale Transfers 68.5 Million Coins to Bybit, Traders Wait for Market Reaction",03-Feb-20,0.1,,
6716,Funds Locked in DeFi Approach $1 Billion Milestone,03-Feb-20,0.6,,
6717,Bitcoin Analysis for 2020-02-03 [Premium Analysis],03-Feb-20,0.1,,
6718,Digitex Futures Reveals Launch Date for Long-Awaited Mainnet – Trade BTC Futures with Zero Fees,03-Feb-20,0.7,,
6719,Bitcoin Price Sitting Above Stock-to-Flow Model as Halving Nears,03-Feb-20,0.3,,
6720,Exchange Tokens Led the Cryptocurrency Market in Gains for January,03-Feb-20,0.3,,
6721,What Will Happen to Bitcoin If $1.6 Trillion of Student Loans Are Forgiven,03-Feb-20,0.1,,
6722,"UN Suffers Major Hack, Opts to Stay Quiet",02-Feb-20,-0.7,,
6723,"Oil Price Collapses on Market Fears, Could Drive Investment Into Bitcoin",02-Feb-20,0.3,,
6724,Diversifying Into Bitcoin Can Help Protect Retirement Savings,02-Feb-20,0.5,,
6725,Last Year’s Wawa Hacker Now Selling Stolen Credit Card Data,02-Feb-20,-0.8,,
6726,TRX Short-Term Breakout Highlights Bullish Momentum,02-Feb-20,0.5,,
6727,"Bitcoin’s Price Carries on Climbing, Sets Sights on $10,000",02-Feb-20,0.5,,
6728,"Microsoft’s New Xbox Bug Bounty Program Offers up to $20,000 in Rewards",02-Feb-20,0.1,,
6729,Facebook’s New ‘Principles First’ Approach May Corrode Support for Libra,02-Feb-20,-0.3,,
6730,Bitcoin Lifted After Coronavirus Fears Crush Stock Prices,02-Feb-20,0.3,,
6731,Researchers Find Flaw That Allows Hackers Join Zoom Calls Uninvited,01-Feb-20,-0.7,,
6732,Bitcoin Will Have a Bullish Year (According to ‘January Barometer’),01-Feb-20,0.5,,
6733,How Ethereum’s Economy is Now Dominated by Stable Value Transfer,01-Feb-20,0.1,,
6734,Bitcoin Whale Implies Massive Short Position is Just a Hedge,01-Feb-20,0.1,,
6735,FCC Gives Green Light to OnGo Services in Android and Apple Phones,01-Feb-20,0.1,,
6736,"Three Altcoins That Have Broken Out, Here’s Their February Potential",01-Feb-20,0.1,,
6737,Researchers Extract Seed Phrase From Trezor Cryptocurrency Hardware Wallets in Minutes,01-Feb-20,-0.9,,
6738,Only 100 Days Left Until Bitcoin Becomes More Scarce,01-Feb-20,0.1,,
6739,FCC’s Hard Stance on Robocalling Continues With Proposed $13 Million Fine,31-Jan-20,-0.3,,
6740,Vulnerable Citrix Servers Targeted by Hackers Using Ransomware,31-Jan-20,-0.7,,
6741,3 Altcoins That Could Increase Considerably in the Coming Weeks,31-Jan-20,0.3,,
6742,Binance CEO Wants You to ‘Monetize Your Friends’,31-Jan-20,0.1,,
6743,THETA’s Relationship with this Moving Average Could Determine Its Trend,31-Jan-20,0.1,,
6744,Cryptocurrency Exchange Bitpanda Trolls Brits Over Brexit,31-Jan-20,0.1,,
6745,3 Altcoins That Could Post Considerable Gains This Altseason,31-Jan-20,0.5,,
6746,Trump’s Pick for Federal Reserve Is a Fan of Cryptocurrency,31-Jan-20,0.3,,
6747,Bitcoin’s Safe Haven Status is Going Mainstream,31-Jan-20,0.7,,
6748,Bitcoin Analysis for 2020-01-31 [Premium Analysis],31-Jan-20,0.1,,
6749,"Stablecoin Ethereum Flip Could Lead to Mass Adoption, Claims Binance CEO",31-Jan-20,0.7,,
6750,3 Altcoins That Could Soon Join Their Bullish Peers,31-Jan-20,0.3,,
6751,,31-Jan-20,0.5,$1 Million Isn’t Enough for Retirement Anymore: Is It Time for ‘Plan Bitcoin?’,$1 Million Isn’t Enough for Retirement Anymore: Is It Time for ‘Plan Bitcoin?’
6752,,31-Jan-20,0.3,Binance Coin Holds on to Significant Support: Is a Breakout Incoming?,Binance Coin Holds on to Significant Support: Is a Breakout Incoming?
6753,,30-Jan-20,-0.8,WordPress Plugin Flaw Could Allow Hackers to Take Over Entire Websites,WordPress Plugin Flaw Could Allow Hackers to Take Over Entire Websites
6754,,30-Jan-20,0.6,$6 Billion in Stablecoins Poised to Enter Cryptocurrency Markets,$6 Billion in Stablecoins Poised to Enter Cryptocurrency Markets
6755,,30-Jan-20,0.0,Has TRON Completed Its January Correction?,Has TRON Completed Its January Correction?
6756,,30-Jan-20,0.1,How Cryptocurrency Exchanges Are Preparing for Brexit Tomorrow,How Cryptocurrency Exchanges Are Preparing for Brexit Tomorrow
6757,,30-Jan-20,-0.7,"2,000 Bitcoin Moved to Binance Leaves Traders Bracing for Sell-Off","2,000 Bitcoin Moved to Binance Leaves Traders Bracing for Sell-Off"
6758,,30-Jan-20,-0.9,Texas-Based Real Estate Firm Lost $10 Million to Foreign Hackers,Texas-Based Real Estate Firm Lost $10 Million to Foreign Hackers
6759,,30-Jan-20,0.8,Litecoin Aims To Continue Its Upward Climb,Litecoin Aims To Continue Its Upward Climb
6760,,30-Jan-20,-0.8,Cryptocurrency Exchange GO.Exchange Goes out of Business,Cryptocurrency Exchange GO.Exchange Goes out of Business
6761,,30-Jan-20,0.9,Bitcoin Hash Rate Hits New High: Are Fundamentals Screaming ‘Bull Run?’,Bitcoin Hash Rate Hits New High: Are Fundamentals Screaming ‘Bull Run?’
6762,,30-Jan-20,0.8,This Ontology Fractal Predicts a Massive Upward Move,This Ontology Fractal Predicts a Massive Upward Move
6763,,30-Jan-20,0.2,Fidelity and Charles Schwab Copy Bitcoin’s Fractional Trading Model To Attract Younger Market,Fidelity and Charles Schwab Copy Bitcoin’s Fractional Trading Model To Attract Younger Market
6764,,30-Jan-20,-0.3,Court Orders Apple to Pay $85.2 Million to WiLan in Patent Infringement Case,Court Orders Apple to Pay $85.2 Million to WiLan in Patent Infringement Case
6765,,30-Jan-20,-0.1,Major Zcash Decision Left to Community Gets Just 88 Votes,Major Zcash Decision Left to Community Gets Just 88 Votes
6766,,30-Jan-20,0.9,Total Value Locked in DeFi Hits New All-Time High of $852M,Total Value Locked in DeFi Hits New All-Time High of $852M
6767,,30-Jan-20,0.0,Bitcoin Analysis for 2020-01-30 [Premium Analysis],Bitcoin Analysis for 2020-01-30 [Premium Analysis]
6768,,30-Jan-20,-0.4,"Changpeng Zhao’s Eternal Bitcoin Optimism is Not Only Wearing Thin, it’s Hypocritical","Changpeng Zhao’s Eternal Bitcoin Optimism is Not Only Wearing Thin, it’s Hypocritical"
6769,,23-Nov-23,0.1,How Sam Altman Can Shape Remote Hiring in Web3 and Crypto,How Sam Altman Can Shape Remote Hiring in Web3 and Crypto
6770,,23-Nov-23,0.9,Uniswap (UNI) Price Surges 50% in November as DEX Trading Volume Reaches 5-Month High,Uniswap (UNI) Price Surges 50% in November as DEX Trading Volume Reaches 5-Month High
6771,,23-Nov-23,0.8,"BLUR Rockets Into Top 100, Reaching $0.50 in 5-Month Peak Amid Airdrop Buzz","BLUR Rockets Into Top 100, Reaching $0.50 in 5-Month Peak Amid Airdrop Buzz"
6772,,23-Nov-23,0.0,Solana (SOL) Price Returns to Support: Temporary Dip or Trend Shift?,Solana (SOL) Price Returns to Support: Temporary Dip or Trend Shift?
6773,,23-Nov-23,0.3,Polygon (MATIC) Demand On the Rise – Will Price Follow?,Polygon (MATIC) Demand On the Rise – Will Price Follow?
6774,,23-Nov-23,0.4,This Bullish Altcoin Indicator Has Only Appeared Twice Before ,This Bullish Altcoin Indicator Has Only Appeared Twice Before 
6775,,23-Nov-23,0.2,Grayscale Files New Spot Bitcoin ETF Prospectus Following SEC Meeting,Grayscale Files New Spot Bitcoin ETF Prospectus Following SEC Meeting
6776,,23-Nov-23,-0.7,Court Rejects SBF’s Plea for Release from Prison,Court Rejects SBF’s Plea for Release from Prison
6777,,23-Nov-23,0.1,Why Did BlackRock Have a Recent Meeting With The US SEC?,Why Did BlackRock Have a Recent Meeting With The US SEC?
6778,,23-Nov-23,0.7,"Crypto Markets Bounce Back, No Mass Exodus From Binance","Crypto Markets Bounce Back, No Mass Exodus From Binance"
6779,,22-Nov-23,-0.2,Only Days Left for Customers to Withdraw Crypto from Bittrex Global,Only Days Left for Customers to Withdraw Crypto from Bittrex Global
6780,,22-Nov-23,-0.6,OpenAI Investors Contemplating Board Lawsuit: Report ,OpenAI Investors Contemplating Board Lawsuit: Report 
6781,,22-Nov-23,0.3,Zash Acquisition Sets CoinGecko on Path to Offering Comprehensive NFT Data,Zash Acquisition Sets CoinGecko on Path to Offering Comprehensive NFT Data
6782,,22-Nov-23,0.6,Avalanche (AVAX) Price Finally Conquers 455-Day Resistance – Is the Tide Turning?,Avalanche (AVAX) Price Finally Conquers 455-Day Resistance – Is the Tide Turning?
6783,,22-Nov-23,-0.8,"Financial Impropriety, Historical Revisionism and More: Shibburn Takes Aim at Shiba Inu Leadership","Financial Impropriety, Historical Revisionism and More: Shibburn Takes Aim at Shiba Inu Leadership"
6784,,22-Nov-23,-0.4,Bitcoin Cash (BCH) Price Stumbles as Miners Make $50M Move – What Happens Next?  ,Bitcoin Cash (BCH) Price Stumbles as Miners Make $50M Move – What Happens Next?  
6785,,30-Jan-20,0.5,LINK Bullish Pattern Might Lead to a Breakout,LINK Bullish Pattern Might Lead to a Breakout
6786,,30-Jan-20,0.3,Bitcoin Bull Lobbies to Be NFL Players Association President,Bitcoin Bull Lobbies to Be NFL Players Association President
6787,,30-Jan-20,0.4,XLM Could Soon Head for Range Highs,XLM Could Soon Head for Range Highs
6788,,29-Jan-20,0.0,YouTube Offering Free Channel Membership to Some Premium Users,YouTube Offering Free Channel Membership to Some Premium Users
6789,,29-Jan-20,0.7,Ethereum Options Trading Benefiting From January Bitcoin Surge,Ethereum Options Trading Benefiting From January Bitcoin Surge
6790,,29-Jan-20,0.0,ETC Price Movement: Double Top or Breakout?,ETC Price Movement: Double Top or Breakout?
6791,,29-Jan-20,-0.7,Opera’s Loan Apps Accused of Violating Google’s Policies,Opera’s Loan Apps Accused of Violating Google’s Policies
6792,,29-Jan-20,0.8,Bitcoin Price Breakout Boosting Futures Trading With $10K in Sight,Bitcoin Price Breakout Boosting Futures Trading With $10K in Sight
6793,,29-Jan-20,0.2,How Long Will IOTA’s Increase Continue?,How Long Will IOTA’s Increase Continue?
6794,,29-Jan-20,-0.3,Cosmos (ATOM) CEO Allegedly Leaving Project to Fight Climate Change,Cosmos (ATOM) CEO Allegedly Leaving Project to Fight Climate Change
6795,,29-Jan-20,-0.5,How Bitcoin Open Interest Could Lead to a Big Correction,How Bitcoin Open Interest Could Lead to a Big Correction
6796,,29-Jan-20,0.6,"Ethereum Continues Its Ascent, Targeting Overhead Resistance","Ethereum Continues Its Ascent, Targeting Overhead Resistance"
6797,,29-Jan-20,-0.6,Justin Sun Promotes TRON Via Coronavirus Outbreak,Justin Sun Promotes TRON Via Coronavirus Outbreak
6798,,29-Jan-20,0.0,Bitcoin Analysis for 2020-01-29 [Premium Analysis],Bitcoin Analysis for 2020-01-29 [Premium Analysis]
6799,,29-Jan-20,-0.9,Hackers are Scamming Victims of Personal Data Theft,Hackers are Scamming Victims of Personal Data Theft
6800,,29-Jan-20,0.4,Cryptocurrencies May Help the 25% of Unbanked Americans,Cryptocurrencies May Help the 25% of Unbanked Americans
6801,MATIC Approaches Significant Resistance – Does a Breakout Await?,29-Jan-20,0.1,,
6802,Huobi Will Help Coronavirus Victims as Binance Did,29-Jan-20,0.3,,
6803,Will The Anonymous Time Travelling Bitcoin Predictions Be Validated?,29-Jan-20,0.1,,
6804,Bitcoin Back to Acting Like Gold and Less Like Stocks,28-Jan-20,0.1,,
6805,ADA Breaks Out: Is This the Beginning of a New Trend?,28-Jan-20,0.5,,
6806,Google Responds to Redesign Backlash With a Promise to Keep Experimenting,28-Jan-20,-0.1,,
6807,"Whale Moves $11.6M Worth of XRP to Bitstamp, Traders Prepare for Selloff",28-Jan-20,-0.7,,
6808,4 Altcoins That Can Pave the Way for the Next Bullish Crypto Cycle,28-Jan-20,0.1,,
6809,Mysterious ‘999’ Cryptocurrency Pumps and Dumps,28-Jan-20,-0.5,,
6810,Bitcoin Spending More Precise Than Ever,28-Jan-20,0.1,,
6811,Gold Fractal Suggests Bitcoin Has Begun a Bullish Cycle,28-Jan-20,0.3,,
6812,"It’s Been 10 Days Since Bakkt Had an Options Trade, Monthly Futures Volume Stagnates",28-Jan-20,-0.3,,
6813,"No, Coronavirus is Not Good For Bitcoin",28-Jan-20,-0.7,,
6814,FDA Raises Alarm Over Vulnerable Cardiac Diagnosis Tools,28-Jan-20,-0.4,,
6815,Bitcoin Analysis for 2020-01-28 [Premium Analysis],28-Jan-20,0.1,,
6816,Bitcoin Social Media Engagements Climb to 2020 High,28-Jan-20,0.5,,
6817,Digibyte Founder Calls TRON CEO a ‘Sleazy Con Artist’,28-Jan-20,-0.8,,
6818,Ledger Warns Against New YouTube Phishing Scams,28-Jan-20,-0.6,,
6819,Bitcoin Highlighted as Lebanese Banks on Brink of Insolvency,28-Jan-20,-0.2,,
6820,EOS Seems Poised to Continue Upward Movement,28-Jan-20,0.4,,
6821,7 Altcoins You Must Withdraw From Poloniex (Or Lose Forever),28-Jan-20,-0.6,,
6822,ATOM Increasing at a Gradual Rate: What’s Next?,28-Jan-20,0.1,,
6823,GDPR Fines Haul Crosses $100 Million in Less Than 2 Years,27-Jan-20,-0.1,,
6824,Bitcoin Had a Stale Block Resulting in $3 Double Spend,27-Jan-20,-0.5,,
6825,"Ravencoin Has Reached Resistance, Will It Successfully Break Out?",27-Jan-20,0.1,,
6826,‘Crazy Bitcoin Hodlers’ Stash 12.6 Million BTC in Long-Term Positions,27-Jan-20,0.1,,
6827,Ethereum Breaks out Above 378-Day Resistance Line,27-Jan-20,0.6,,
6828,How Bitcoin and Other Markets Are Reacting to U.S. Embassy Attack in Baghdad,27-Jan-20,-0.2,,
6829,China Urged to Regulate Cryptocurrency Over Growing Libra Concerns,27-Jan-20,-0.3,,
6830,NEO’s Breakout Could Produce a New Yearly High,27-Jan-20,0.5,,
6831,Bitcoin Gold 51% Attacked for the Second Time,27-Jan-20,-0.7,,
6832,Bitcoin Analysis for 2020-01-27 [Premium Analysis],27-Jan-20,0.1,,
6833,"China BTC Volume on LocalBitcoins Hits 2-Year Low, Baidu Searches Dwindle",27-Jan-20,-0.4,,
6834,TRON Dedicates Upcoming Blockchain Summit to Kobe Bryant,27-Jan-20,0.1,,
6835,Bitcoin Trading Volumes Continue Increasing in Troubled Economies,27-Jan-20,0.4,,
6836,Dash May Have 1 Million Users in Venezuela by Year’s End,27-Jan-20,0.4,,
6837,"Bitcoin, Safe Haven Asset Futures Spike on Global Fears, Unrest",26-Jan-20,0.1,,
6838,Michigan Relaxes Laws Restricting Tesla From Selling Directly to Customers,26-Jan-20,0.1,,
6839,"Trump Turns Attention to UK, EU in Trade Wars — Will They Counter with Bitcoin?",26-Jan-20,-0.1,,
6840,Bitcoin ETF Hopes Rise as Investors Move to Nontransparent ETFS ,26-Jan-20,0.3,,
6841,Elon Musk’s Rise to Power Proves World Is Ready for Cryptocurrency,26-Jan-20,0.2,,
6842,Bitcoin Cash Miner Tax Suggested by Litecoin’s Charlie Lee,26-Jan-20,-0.2,,
6843,"Bitcoin Price Could Reverse Near $8200, Says Analyst",26-Jan-20,-0.3,,
6844,Bitcoin and Stocks Lose Steam Amid Coronavirus Fears,25-Jan-20,-0.6,,
6845,Turkish Hackers Deface Government Websites in Greece Over Libya Dispute,25-Jan-20,-0.5,,
6846,The ENJ Breakout Could Have Caused a Trend Reversal,25-Jan-20,0.1,,
6847,"Tezos May Be on the Verge of a Breakdown, Analyst Claims",25-Jan-20,-0.5,,
6848,Cryptocurrency Market Trading Volume Went up Nearly 600% in 2019,25-Jan-20,0.6,,
6849,Cryptocurrencies Remain Niche but Interest in Central Bank Digital Currencies is Soaring,25-Jan-20,0.1,,
6850,Ripple Chief Bashes Bitcoin While XRP Tumbles Again,25-Jan-20,-0.7,,
6851,Binance Coin Might Have Finished Correcting: Here Is What It’s Targeting,24-Jan-20,0.1,,
6852,Bitcoin Ticks Upward as New York Fed Injects Another $55.3 Billion Into Economy,24-Jan-20,0.3,,
6853,Monero’s Bullish Pattern Could Take It Above ₿0.01,24-Jan-20,0.5,,
6854,Peter Schiff Is the Last Person Who Should Lecture the Public on Bitcoin,24-Jan-20,-0.6,,
6855,Five Altcoins That Could Hit it Big in February (Part 2),24-Jan-20,0.1,,
6856,Bitcoin-Hating JP Morgan CEO Criticized by Bernie Sanders for Wanting ‘Corporate Socialism’,24-Jan-20,-0.7,,
6857,Bitcoin Analysis for 2020-01-24 [Premium Analysis],24-Jan-20,0.0,,
6858,Ledger Now ‘Supporting’ Alleged Ponzi Scheme HEX,24-Jan-20,-0.4,,
6859,Microsoft Records Endangered: 250 Million CSS Files Were Exposed,24-Jan-20,-0.3,,
6860,Five Altcoins that Could Hit it Big in February (Part 1),24-Jan-20,0.1,,
6861,"Bitcoin a Safer Investment Than Stocks, Real Estate, Bonds, Gold Over 4 Years",24-Jan-20,0.8,,
6862,"Stablecoins Need Open Standards to Transform Commerce, Says Circle CEO",24-Jan-20,0.1,,
6863,Washington Clashes with Silicon Valley Over Security and Privacy,23-Jan-20,-0.2,,
6864,Litecoin Price’s Relationship With This Moving Average Will Determine Its Trend [Premium Analysis],23-Jan-20,0.0,,
6865,Binance CEO Calls Himself and TRON’s Founder ‘Hustlers’,23-Jan-20,-0.3,,
6866,Will XRP Break Out From Its Two-Year Downward Trend? [Premium Analysis],23-Jan-20,0.1,,
6867,Harmony (ONE) Becomes First Binance IEO to Hold Token Swap,23-Jan-20,0.2,,
6868,ICON (ICX) Successfully Breaks out Above 150-Day Resistance Line,23-Jan-20,0.6,,
6869,Bitcoin Cash Proposed Miner Tax Could be a Suicidal Move,23-Jan-20,-0.7,,
6870,Low-Risk Crypto Investment Competition is Heating Up,23-Jan-20,0.3,,
6871,Chinese Stock Market Posts Record Losses as Bitcoin Falters Amid Coronavirus Fears,23-Jan-20,-0.8,,
6872,President Xi Could Crackdown on Chinese Crypto Twitter,23-Jan-20,-0.5,,
6873,Bitcoin/Crypto – What Are the Main Benefits?,23-Jan-20,0.1,,
6874,Bitcoin Analysis for 2020-01-23 [Premium Analysis],23-Jan-20,0.0,,
6875,How Ethereum Could Hit $800 by End of 2020,23-Jan-20,0.5,,
6876,Binance Coin (BNB) Bests Bitcoin in 2019 Race for Top-Performing Asset,23-Jan-20,0.7,,
6877,TRON Scores PornHub Promotion and USDT Integration,23-Jan-20,0.4,,
6878,Cryptocurrency Exchange Hacks Saw Uptick in 2019 (But Thieves Made Off with Less),23-Jan-20,-0.4,,
6879,Vechain Breaks out After Completing Its Correction [Premium Analysis],23-Jan-20,0.5,,
6880,NEM Surges Nearly 20% on Crypto-Friendly Travel Firm Partnership Announcement,23-Jan-20,0.7,,
6881,Bitcoin ETF in a Year? Analyst Claims Grayscale on Track to Launch First,23-Jan-20,0.4,,
6882,BAT’s Consolidation Could Soon Come to an End [Premium Analysis],23-Jan-20,0.1,,
6883,Justin Sun Finally Gets Big Ticket Lunch — But with Apple Co-Founder,23-Jan-20,0.2,,
6884,Ethereum Classic Increased by More Than 100% in Three Days: What’s Next?,22-Jan-20,0.3,,
6885,Another $13m USDC Minted at USDC Treasury as Market Waits for Bulls,22-Jan-20,0.1,,
6886,Bitcoin Confirmation Times Have Dropped 20% Since Q4 2019,22-Jan-20,0.3,,
6887,ALGO’s Breakout Could Take It to 3300 Satoshis,22-Jan-20,0.4,,
6888,Bitcoin Fraud Scheme Scams 75 Year Old out of Life Savings,22-Jan-20,-0.9,,
6889,"Cryptocurrencies ‘Exciting but Come with Risks,’ Proclaims SEC Commissioner",22-Jan-20,0.0,,
6890,TRON Is Consolidating in Anticipation of a Breakout,22-Jan-20,0.1,,
6891,"Cardano Co-Founder Meets Former Georgia PM, Commits to National Blockchain Program",22-Jan-20,0.4,,
6892,Waltonchain Completes Token Swap on Binance,22-Jan-20,0.2,,
6893,Bitcoin Analysis for 2020-01-22 [Premium Analysis],22-Jan-20,0.0,,
6894,"U.S. Government Continues Digging a Hole of Debt, Bitcoin Keeps Growing",22-Jan-20,0.4,,
6895,Square Crypto Announces Lightning Development Kit to Boost Bitcoin Adoption,22-Jan-20,0.7,,
6896,"As the Bitcoin Dominance Rate Decreases, Will Altseason Begin? [Premium Analysis]",22-Jan-20,0.1,,
6897,"Diversify Into Hard Assets, but Not Bitcoin, Says Billionaire Investor",22-Jan-20,-0.3,,
6898,A DOGE Breakout Is Predicted by the Wyckoff Method [Premium Analysis],21-Jan-20,0.1,,
6899,Ethereum and Bitcoin Negatively Correlated for 9 of the Last 36 Months,21-Jan-20,0.0,,
6900,"Hacker Dumps Massive List of Login Credentials for Routers, Servers, and Smart Devices",21-Jan-20,-0.5,,
6901,Bitcoin’s Current Upward Move Could Go As High As $9600 [Premium Analysis],21-Jan-20,0.7,,
6902,Latest Binance Coin Burn has Nothing to do with Profits,21-Jan-20,0.1,,
6903,XRP Looks Poised to Break Out Above Long-Term Resistance,21-Jan-20,0.8,,
6904,OKEx Bitcoin Wallet Maintenance Sparks Hack Rumors,21-Jan-20,-0.8,,
6905,India’s Central Bank Asserts Cryptocurrencies Have Not Been Banned,21-Jan-20,0.1,,
6906,Bitcoin Analysis for 2020-01-21 [Premium Analysis],21-Jan-20,0.1,,
6907,Will Bitcoin SV ‘Genesis’ Hard Fork Cause Another BSV Price Pump?,21-Jan-20,0.1,,
6908,Did Zcash Break Through Its 945 Day Downtrend?,21-Jan-20,0.1,,
6909,Cryptocurrency Needs Fair Taxation: US Lawmakers Introduce Supportive Legislation,21-Jan-20,0.3,,
